Team,,,,,,,,,,,,,,,,,,,,,,
Arsenal,Gunners,1995 EPL,Arsenal.jpg,FourFourTwo,1,,,,,,,,,,,,,,,,,
First Name,Last Name,Captain,Position,Number,Shot,Assist,Number of Triangles,Number of Squares,Number of Circles,Pace,Touch,Strong,Hard,Tactics,Star,Head,Kick,Card,Injury,On Target,Reaction,Special Save
Lee,Dixon,,DF,2,1,1,,2,,1,1,1,1,,,,-1,,5,,,
Paul,Merson,,F,8,2,4,1,,2,1,1,,,1,1,-1,,,5,,,
Nigel,Winterburn,,DF,3,1,2,,1,1,1,,1,1,,,-1,,,4,,,
Martin,Keown,,DF,14,-2,-2,,2,,,,1,1,1,,,-1,,4,,,
Dennis,Bergkamp,,MF,10,4,3,1,,2,1,1,1,,1,1,,1,,4,,,
Ian,Wright,,F,8,5,1,2,,,1,1,,1,,1,,,,4,,,
David,Platt,,MF,7,3,3,1,1,1,,1,1,,1,1,,1,,4,,,
Tony,Adams,,DF,6,1,-1,,1,,,,1,1,1,,,-1,1,3,,,
Ray,Parlour,,MF,15,-2,1,,1,1,,,1,1,1,,-1,,,4,,,
Stephen,Bould,,DF,5,-2,-2,,1,,,1,1,,1,1,,-1,1,3,,,
Andrew,Linighan,,DF,12,-2,,,,,1,,,1,1,,-1,-1,,3,,,
Glenn,Helder,,MF,11,1,2,,,,1,1,,,1,1,-1,,,3,,,
John,Harston,,F,16,3,1,,,,,1,1,1,,,,,,3,,,
Faxe,Jensen,,MF,19,-2,1,,,,1,1,,,1,,-1,-1,,3,,,
Scott,Marshall,,DF,25,1,,,,,,,1,,1,,,-1,,3,,,
Adrian,Clarke,,MF,29,-2,-1,,,,1,,,,1,,-1,,,2,,,
David,Hillier,,MF,17,-2,-1,,,,,,,1,1,,-1,,,2,,,
Steve,Morrow,,DF,18,-2,-1,,,,,1,,,1,,-1,-1,,2,,,
David,Seaman,x,GK,1,,,,,,,,,,,,,,,5,4,2,4
Lee,Harper,,GK,26,,,,,,,,,,,,,,,2,3,2,1
End,,,,,,,,,,,,,,,,,,,,,,
Team,,,,,,,,,,,,,,,,,,,,,,
Aston Villa FC,Lions,1995 EPL,AstonVilla.jpg,FourFourTwo,1,,,,,,,,,,,,,,,,,
First Name,Last Name,Captain,Position,Number,Shot,Assist,Number of Triangles,Number of Squares,Number of Circles,Pace,Touch,Strong,Hard,Tactics,Star,Head,Kick,Card,Injury,On Target,Reaction,Special Save
Alan,Wright,,DF,14,1,1,,1,,1,1,,,1,,-1,,,5,,,
Savo,Milosevic,,F,9,3,2,1,,,,1,1,,,1,,,,4,,,
Mark,Draper,,MF,8,1,2,1,,1,,1,1,1,,,,,,4,,,
Ugo,Ehiogu,,DF,16,,1,,1,1,1,1,1,,,1,,-1,,4,,,
Dwight,Yorke,x,F,18,4,3,2,,,1,1,1,,1,1,,,-1,4,,,
Gary,Charles,,DF,2,,1,,1,1,,,1,1,1,,-1,-1,,4,,,
Andy,Townsend,,MF,11,1,2,1,1,1,,,1,1,1,1,,,1,4,,,
Gareth,Southgate,,DF,4,,-2,,2,,1,1,,1,,,-1,-1,,4,,,
Paul,McGrath,,DF,5,1,-1,,1,1,,1,1,1,,1,,-1,,4,,,
Ian,Taylor,,MF,7,2,3,1,,1,,1,1,,1,1,,,,4,,,
Tommy,Johnson,,MF,10,3,1,,,1,1,1,,,,1,,,,3,,,
Steve,Staunton,,DF,3,-2,,,1,,,1,1,1,,,-1,,,3,,,
Riccardo,Scimeca,,DF,20,-2,-2,,,,1,,1,,1,,,-1,,3,,,
Julian,Joachim,,F,26,2,1,,,,1,,,,1,,-1,,,3,,,
Gareth,Farrely,,MF,19,-2,-2,,,,1,,1,,,,-1,-1,,2,,,
Graham,Fenton,,MF,15,-2,1,,,,,1,,,,1,-1,-1,,2,,,
