Name,Nation,Club,Position,Age,Overall,Pace,Shooting,Passing,Dribbling,Defending,Physicality,Acceleration,Sprint,Positioning,Finishing,Long,Volleys,Penalties,Vision,Crossing,Free,Curve,Agility,Balance,Reactions,Composure,Interceptions,Heading,Sliding,Jumping,Stamina,Strength,Aggression,Att work rate,Def work rate,Preferred foot,Weak foot,Skill moves,Gender,GK
Kylian Mbappé,France,Paris SG,ST,24,91,97,90,80,93,36,78,97,97,93,94,71,84,84,83,78,69,80,93,82,93,88,38,73,32,88,88,77,64,High,Low,Right,4,5,M,
Erling Haaland,Norway,Manchester City,ST,23,91,89,93,66,79,45,88,82,94,96,96,53,90,84,74,47,62,77,76,72,94,87,43,83,29,93,76,93,87,High,Medium,Left,3,3,M,
Kevin De Bruyne,Belgium,Manchester City,CM,32,91,72,88,94,86,65,78,72,72,88,85,94,83,83,95,95,83,92,74,78,92,88,66,55,53,72,88,74,75,High,Medium,Right,5,4,M,
Lionel Messi,Argentina,Inter Miami CF,CF,36,90,80,87,90,96,33,64,87,74,91,89,90,86,75,92,83,93,93,91,95,88,96,40,60,24,71,70,68,44,Low,Low,Left,4,4,M,
Karim Benzema,France,Al Ittihad,CF,35,90,79,88,83,87,39,78,78,79,92,91,76,88,85,90,75,73,82,77,72,92,90,39,90,18,85,82,82,63,Medium,Medium,Right,4,4,M,
Thibaut Courtois,Belgium,Real Madrid,GK,31,90,85,89,76,13,46,90,42,52,13,14,35,12,27,44,14,20,19,63,45,88,66,15,13,16,68,38,70,23,Medium,Medium,Left,3,1,M,93
Harry Kane,England,FC Bayern München,ST,30,90,69,93,84,82,49,83,67,71,94,95,88,89,92,87,80,65,82,66,73,93,92,42,89,38,87,83,84,80,High,High,Right,5,3,M,
Robert Lewandowski,Poland,FC Barcelona,ST,35,90,75,91,80,86,44,84,76,75,94,93,70,89,90,81,76,85,79,77,83,93,88,49,91,19,92,76,89,81,High,Medium,Right,4,4,M,
Mohamed Salah,Egypt,Liverpool,RW,31,89,89,87,81,88,45,76,89,89,92,92,77,83,81,84,80,69,84,89,91,93,90,55,59,41,80,87,75,63,High,Medium,Left,3,4,M,
Rúben Dias,Portugal,Manchester City,CB,26,89,62,39,66,64,89,87,54,69,39,29,76,32,45,51,54,48,46,60,56,89,81,86,87,87,84,78,90,93,Medium,High,Right,4,2,M,
Vini Jr.,Brazil,Real Madrid,LW,23,89,95,82,78,92,29,68,95,95,87,89,77,72,65,81,78,62,77,94,84,86,79,26,50,18,74,84,64,58,High,High,Right,4,5,M,
Rodri,Spain,Manchester City,CDM,27,89,58,73,80,79,85,84,54,62,75,64,90,59,62,82,63,61,65,65,64,89,85,84,81,78,80,89,83,83,Medium,High,Right,4,3,M,
Neymar Jr,Brazil,Al Hilal,LW,31,89,86,83,85,95,37,61,88,85,86,83,81,86,91,90,83,87,88,93,83,88,93,37,63,29,72,78,51,63,High,Medium,Right,5,5,M,
Marc-André ter Stegen,Germany,FC Barcelona,GK,31,89,86,85,89,21,47,86,45,50,11,14,63,14,25,70,18,12,18,39,43,85,70,22,11,10,72,35,78,43,Medium,Medium,Right,4,1,M,91
Virgil van Dijk,Holland,Liverpool,CB,32,89,78,60,71,70,89,86,66,87,47,52,86,45,62,65,53,70,60,59,50,88,89,88,86,86,89,72,93,85,Medium,High,Right,3,2,M,
Alisson,Brazil,Liverpool,GK,31,89,86,85,85,27,56,90,60,49,13,13,58,20,23,66,17,18,19,40,37,87,66,11,29,16,82,32,78,27,Medium,Medium,Right,3,1,M,89
Casemiro,Brazil,Manchester Utd,CDM,31,89,63,75,79,69,89,88,60,66,77,69,85,68,66,79,68,74,77,61,65,90,85,89,84,88,85,88,88,91,Medium,High,Right,3,2,M,
Bruno Fernandes,Portugal,Manchester Utd,CAM,29,88,71,86,90,81,69,77,74,68,88,83,92,87,90,94,87,85,86,78,79,91,82,66,66,65,73,95,66,84,High,High,Right,3,4,M,
Antoine Griezmann,France,Atlético de Madrid,ST,32,88,80,88,87,88,58,75,80,80,90,90,86,85,79,88,82,85,89,89,84,90,89,57,85,60,85,86,69,74,High,High,Left,3,4,M,
Victor Osimhen,Nigeria,Napoli FC,ST,24,88,90,86,66,83,42,82,87,92,90,91,54,83,75,70,62,52,63,78,68,89,80,34,84,22,94,81,86,68,High,Medium,Right,4,3,M,
Bernardo Silva,Portugal,Manchester City,CM,29,88,69,78,86,92,70,69,78,61,85,78,82,78,68,87,84,67,84,95,92,89,89,73,54,60,66,93,54,78,High,High,Left,3,4,M,
Federico Valverde,Uruguay,Real Madrid,CM,25,88,88,82,84,83,80,82,84,91,86,79,88,70,59,86,78,69,74,77,68,89,84,83,59,79,80,89,80,81,High,High,Right,4,3,M,
Ederson,Brazil,Manchester City,GK,30,88,86,82,91,23,64,86,64,63,20,14,65,18,51,70,20,20,15,60,48,87,70,27,14,8,79,44,78,38,Medium,Medium,Left,3,1,M,86
Joshua Kimmich,Germany,FC Bayern München,CDM,28,88,70,74,88,82,82,79,77,65,80,68,91,69,69,85,91,76,85,84,84,88,86,85,72,78,78,94,68,88,High,Medium,Right,4,3,M,
Jan Oblak,Slovenia,Atlético de Madrid,GK,30,88,85,90,78,12,46,86,42,53,11,11,40,13,11,67,13,14,13,64,48,85,68,24,15,18,72,42,78,36,Medium,Medium,Right,3,1,M,87
Luka Modrić,Croatia,Real Madrid,CM,38,87,72,76,89,84,72,66,75,70,76,72,92,76,83,91,86,78,85,92,92,85,92,80,55,72,67,83,58,62,Medium,Medium,Right,4,4,M,
Frenkie de Jong,Holland,FC Barcelona,CM,26,87,82,69,86,87,77,78,80,83,77,72,89,70,53,88,78,64,84,87,79,88,90,82,72,77,82,89,74,74,High,Medium,Right,3,4,M,
Lautaro Martínez,Argentina,Inter,ST,26,87,80,86,71,84,48,85,83,77,90,90,73,91,74,78,58,54,78,86,89,88,86,45,86,44,93,80,84,90,High,Medium,Right,4,4,M,
Martin Ødegaard,Norway,Arsenal,CAM,24,87,72,81,88,86,61,64,74,71,83,82,87,79,63,89,85,85,83,85,82,84,86,66,55,54,66,81,56,64,High,Medium,Left,2,5,M,
Mike Maignan,France,Milan,GK,28,87,85,82,87,31,51,85,50,53,15,15,61,16,15,65,18,16,38,41,56,85,68,25,17,19,75,39,78,35,Medium,Medium,Right,4,1,M,89
Marquinhos,Brazil,Paris SG,CB,29,87,78,56,75,69,89,80,76,80,70,59,85,35,52,76,68,32,58,68,67,86,86,89,88,88,89,83,78,81,Medium,High,Right,3,3,M,
Gregor Kobel,Switzerland,Borussia Dortmund,GK,25,87,86,84,74,24,44,85,38,52,10,10,33,10,12,59,13,12,13,37,29,85,66,14,13,15,71,30,81,24,Medium,Medium,Right,3,1,M,89
Heung Min Son,Korea Republic,Spurs,LW,31,87,87,88,80,87,42,70,85,88,90,89,72,79,73,81,83,74,87,81,74,89,87,39,68,33,78,88,64,62,High,Medium,Right,5,4,M,
Gianluigi Donnarumma,Italy,Paris SG,GK,24,87,90,82,79,28,52,83,50,55,14,12,34,8,24,60,12,14,12,64,38,84,65,26,12,16,71,34,72,30,Medium,Medium,Right,3,1,M,89
Manuel Neuer,Germany,FC Bayern München,GK,37,87,84,85,90,30,49,88,48,50,12,13,68,11,47,70,15,11,14,51,35,84,70,30,25,11,77,43,80,29,Medium,Medium,Right,4,1,M,84
